	Epithelial cells	KRT6C+ Epithelial cells	GSTA1+ Epithelial cells	GAS2L3+ Epithelial cells	UBD+ Epithelial cells
HES4	0.192716236722307	1.24305555555556	1.45016077170418	0.491228070175439	0.928802588996764
JUN	3.84522003034901	37.9722222222222	36.4244372990354	23.3157894736842	33.0744336569579
TAGLN2	3.0257966616085	35.6423611111111	25.1446945337621	51.1929824561403	55.8058252427184
IRF6	0.459787556904401	3.93402777777778	2.79099678456592	1.72514619883041	2.0873786407767
ATF3	0.960546282245827	2.61458333333333	3.93569131832797	0.39766081871345	0.805825242718447
GRHL1	0.256449165402124	0.541666666666667	0.707395498392283	0.0701754385964912	0.0679611650485437
REL	0.849772382397572	6.05208333333333	6.68488745980707	3.28070175438596	3.38187702265372
POLE4	0.153262518968134	3.91319444444444	4.31832797427653	6.73684210526316	7.0453074433657
NFE2L2	3.41274658573596	10.1354166666667	29.3569131832797	4.27485380116959	4.1747572815534
STAT1	0.148710166919575	7.12847222222222	6.97749196141479	7.28654970760234	6.67637540453074
BHLHE40	0.804248861911988	2.83333333333333	2.57877813504823	0.830409356725146	0.841423948220065
TP63	0.569044006069803	9.45486111111111	10.2443729903537	7.2280701754386	9.81553398058252
MSX1	0.0151745068285281	1.11458333333333	0.913183279742765	1.42690058479532	2.62783171521036
MEF2C	0.0242792109256449	0.03125	0.135048231511254	0.0701754385964912	0.0517799352750809
IRF1	0.743550834597876	5.18055555555556	4.56591639871383	3.47368421052632	5.35598705501618
PITX1	4.98482549317147	4.49305555555556	7.47588424437299	2.92397660818713	2.42718446601942
SOX4	0.52959028831563	4.23263888888889	14.2122186495177	2.57894736842105	4.47572815533981
ETV7	0.0121396054628225	0.979166666666667	0.803858520900322	0.766081871345029	1.09385113268608
IKZF1	0.0515933232169954	0.0694444444444444	0.35048231511254	0.0760233918128655	0.0711974110032362
CEBPD	1.81183611532625	11.4027777777778	15.8938906752412	3.70175438596491	3.72815533980583
CD59	0.584218512898331	7.20833333333333	5.54019292604502	7.47953216374269	8.06796116504854
SPI1	0.0440060698027314	0.0243055555555556	0.118971061093248	0.0701754385964912	0.0226537216828479
FOSL1	0.200303490136571	1.75347222222222	1.64951768488746	3.33918128654971	2.2588996763754
STAT2	0.0546282245827011	2.38541666666667	1.44694533762058	1.89473684210526	2.37540453074434
DDIT3	0.08649468892261	1.37152777777778	1.88102893890675	0.526315789473684	0.588996763754045
E2F7	0.0227617602427921	0.399305555555556	0.614147909967846	1.34502923976608	1.15533980582524
FOXA1	0.0819423368740516	0.0138888888888889	0.871382636655949	0.0116959064327485	0.0161812297734628
FOS	5.39908952959029	16.4444444444444	18.1479099678457	3.97076023391813	7.47249190938511
BATF	0.0895295902883156	0.0486111111111111	0.19935691318328	0.0701754385964912	0.0226537216828479
YY1	0.573596358118361	6.94097222222222	9.01286173633441	7.53801169590643	6.44012944983819
IRF8	0.0212443095599393	0.0277777777777778	0.196141479099678	0.064327485380117	0.0614886731391586
STAT3	0.638846737481032	3.99652777777778	3.81672025723473	3.50877192982456	3.93527508090615
BRCA1	0.103186646433991	0.899305555555556	1.28617363344051	1.89473684210526	1.77022653721683
MAFG	0.283763277693475	2.17013888888889	3.45016077170418	2.32163742690058	2.00970873786408
E2F1	0.0182094081942337	0.263888888888889	0.511254019292605	0.502923976608187	0.702265372168285
SNAI1	0.0182094081942337	0.680555555555556	0.321543408360129	0.426900584795322	1.01941747572816
CEBPB	0.880121396054628	9.05208333333333	10.8971061093248	4.09356725146199	5.22653721682848
